Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2025-11-30,2025-11-30Z,18:00:00Z,Aucas,Deportivo Cuenca,Estadio Cooprogreso Gonzalo Pozo Ripalda,edf6vi99afxbe40tpqaktlwr8,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/edf6vi99afxbe40tpqaktlwr8/player-stats,,13,2025-12-04T18:54:16Z,,,
2025-11-30,2025-11-30Z,00:00:00Z,Libertad,Barcelona,Estadio Federativo Reina del Cisne,7xx7r9coadqwlwvglfo0uhs0k,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7xx7r9coadqwlwvglfo0uhs0k/player-stats,,13,2025-12-04T21:21:40Z,,,
2025-11-29,2025-11-29Z,21:30:00Z,Universidad Católica,Orense,Estadio Olímpico Atahualpa,7ya455xashq767of50qjjxr10,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7ya455xashq767of50qjjxr10/player-stats,,13,2025-12-05T02:10:07Z,,,
2025-11-29,2025-11-29Z,19:00:00Z,Técnico Universitario,Manta,Estadio Bellavista de Ambato,4cn0m6ep7los5nnvh198c8u1g,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4cn0m6ep7los5nnvh198c8u1g/player-stats,,13,2025-12-04T14:49:34Z,,,
2025-11-29,2025-11-29Z,19:00:00Z,Vinotinto de Ecuador,Mushuc Runa,Estadio Cooprogreso Gonzalo Pozo Ripalda,4c9pl56v2q2rro8h7siptwv10,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4c9pl56v2q2rro8h7siptwv10/player-stats,,13,2025-12-04T11:24:21Z,,,
2025-11-29,2025-11-29Z,00:00:00Z,LDU Quito,Independiente Valle,Estadio Rodrigo Paz Delgado,7xgip5oxkwplk4jehg4smf3mc,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7xgip5oxkwplk4jehg4smf3mc/player-stats,,13,2025-12-02T16:13:54Z,,,
2025-11-23,2025-11-23Z,23:00:00Z,Independiente Valle,Orense,Estadio Banco Guayaquil,a0p30e8siqxjspuloq7uy4jkk,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/a0p30e8siqxjspuloq7uy4jkk/player-stats,,13,2025-11-26T19:29:17Z,,,
2025-11-23,2025-11-23Z,20:30:00Z,Barcelona,LDU Quito,Estadio Monumental Banco Pichincha,a08k994yqbfy8v92dqw1pi4us,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/a08k994yqbfy8v92dqw1pi4us/player-stats,,13,2025-11-26T19:08:24Z,,,
2025-11-23,2025-11-23Z,18:00:00Z,Macará,Delfín,Estadio Bellavista de Ambato,87reuacn4lddqvs5kcwkiey38,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/87reuacn4lddqvs5kcwkiey38/player-stats,,13,2025-11-30T04:54:29Z,,,
2025-11-23,2025-11-23Z,00:00:00Z,Emelec,Aucas,Estadio George Capwell Banco del Austro,87372vlpuuil8xlcopq1ygoic,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/87372vlpuuil8xlcopq1ygoic/player-stats,,13,2025-11-25T22:04:49Z,,,
2025-11-22,2025-11-22Z,19:00:00Z,Manta,Vinotinto de Ecuador,Estadio Jocay,4bv42udx53ijak0758omb1rtg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4bv42udx53ijak0758omb1rtg/player-stats,,13,2025-11-25T21:51:58Z,,,
2025-11-22,2025-11-22Z,19:00:00Z,Mushuc Runa,Técnico Universitario,Estadio Cooperativa de Ahorro y Crédito Mushuc Runa,4bhbb49tavkr7guu7i7qur4lw,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4bhbb49tavkr7guu7i7qur4lw/player-stats,,13,2025-11-25T22:51:06Z,,,
2025-11-22,2025-11-22Z,00:00:00Z,Deportivo Cuenca,El Nacional,Estadio Alejandro Serrano Aguilar Banco del Austro,87fcdb7eil7quuoafhwppgjys,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/87fcdb7eil7quuoafhwppgjys/player-stats,,13,2025-11-26T13:03:54Z,,,
2025-11-21,2025-11-21Z,21:30:00Z,Universidad Católica,Libertad,Estadio Olímpico Atahualpa,a13mypcipyqlgwcoippnzik9g,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/a13mypcipyqlgwcoippnzik9g/player-stats,,13,2025-11-21T23:36:44Z,,,
2025-11-11,2025-11-11Z,00:00:00Z,Aucas,Delfín,Estadio Cooprogreso Gonzalo Pozo Ripalda,86r04nj3ukiw6qhft1igp0ljo,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/86r04nj3ukiw6qhft1igp0ljo/player-stats,,13,2025-11-23T18:18:34Z,,,
2025-11-09,2025-11-09Z,23:00:00Z,Orense,Barcelona,Estadio 9 de Mayo,9yvv5bcuzebp0qqqg3vlmccus,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9yvv5bcuzebp0qqqg3vlmccus/player-stats,,13,2025-11-12T13:42:05Z,,,
2025-11-09,2025-11-09Z,20:30:00Z,El Nacional,Emelec,Estadio Municipal La Cocha,862tq10xuf5dcd2x2flh06rro,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/862tq10xuf5dcd2x2flh06rro/player-stats,,13,2025-11-12T17:34:01Z,,,
2025-11-09,2025-11-09Z,18:00:00Z,Técnico Universitario,Vinotinto de Ecuador,Estadio Bellavista de Ambato,4aqhtoj52nebcouls15qmm2vo,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4aqhtoj52nebcouls15qmm2vo/player-stats,,13,2025-11-22T20:10:18Z,,,
2025-11-09,2025-11-09Z,00:00:00Z,LDU Quito,Libertad,Estadio Rodrigo Paz Delgado,9zt432xgizps15cs1xcom3llg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9zt432xgizps15cs1xcom3llg/player-stats,,13,2025-11-12T18:15:30Z,,,
2025-11-08,2025-11-08Z,21:30:00Z,Independiente Valle,Universidad Católica,Estadio Banco Guayaquil,9zbuqvkstnxmjn1ne34fwibdg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9zbuqvkstnxmjn1ne34fwibdg/player-stats,,13,2025-11-11T18:25:41Z,,,
2025-11-08,2025-11-08Z,19:00:00Z,Manta,Mushuc Runa,Estadio Jocay,4b3v45vd49qvqsdffrjj6rxuc,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4b3v45vd49qvqsdffrjj6rxuc/player-stats,,13,2025-11-14T11:19:57Z,,,
2025-11-08,2025-11-08Z,00:00:00Z,Deportivo Cuenca,Macará,Estadio Alejandro Serrano Aguilar Banco del Austro,86eubk10m0wob65rnejpg7190,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/86eubk10m0wob65rnejpg7190/player-stats,,13,2025-11-11T21:20:24Z,,,
2025-11-05,2025-11-05Z,00:00:00Z,LDU Quito,Orense,Estadio Rodrigo Paz Delgado,9yjd08kh6ovqtaxwhzk0s4g0k,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9yjd08kh6ovqtaxwhzk0s4g0k/player-stats,,13,2025-11-08T19:37:23Z,,,
2025-11-04,2025-11-04Z,00:00:00Z,Libertad,Independiente Valle,Estadio Federativo Reina del Cisne,9xsqlylbwvfk7j6a344cf1yxg,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9xsqlylbwvfk7j6a344cf1yxg/player-stats,,13,2025-11-04T03:00:00Z,,,
2025-11-02,2025-11-02Z,23:00:00Z,Universidad Católica,Barcelona,Estadio Banco Guayaquil,9y6kcpi80smqkcngsouq7rv9w,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9y6kcpi80smqkcngsouq7rv9w/player-stats,,13,2025-11-05T18:18:44Z,,,
2025-11-02,2025-11-02Z,20:30:00Z,Macará,Emelec,Estadio Bellavista de Ambato,85e76niv5klgttfc7nomqtlw4,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/85e76niv5klgttfc7nomqtlw4/player-stats,,13,2025-11-04T22:09:33Z,,,
2025-11-02,2025-11-02Z,18:00:00Z,Vinotinto de Ecuador,Manta,Estadio Cooprogreso Gonzalo Pozo Ripalda,4ad7en4lirlq08a90zr0krr4k,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/4ad7en4lirlq08a90zr0krr4k/player-stats,,13,2025-11-12T03:05:54Z,,,
